,T,S
238,KPMG launches $1.5 billion sustainability drive in run-up to COP26,1
239,ESG goes up in smoke at L&G over Philip Morris’s Vectura bid,1
240,"As firms focus on ESG, greenest London offices could see higher rents",1
241,Bosses fear supply chain disruption as one of top threats to growth – poll,1
242,Diversity in the boardroom must be more than just a box-tick exercise,1
243,FirstGroup sells two North American divisions for £3.3bn,1
244,Heineken sets goal of being carbon neutral in production by 2030,1
245,Chuka Umunna jumps from Edelman to JPMorgan,1
246,‘Feelgood’ ESG funds to save the planet and your finances in 2021,1
247,Greening: Companies need to spend more time focusing on the S in ESG,1
248,Tory-turned Lib Dem Sam Gyimah lands role at Goldman Sachs,1
249,Let's hope bosses talk of the 'social contract' isn't just lipservice,1
250,How AI could lead the green energy drive,1
251,Exclusive: green investments beat sinners 3% as stock market collapsed,1
252,Do we actually know what ESG is? ,1
253,Wagamama owner suffers shareholder revolt over pay and appointments,1
254,Insurers told to up their game on race,1
255,Icahn regrets losing $9bn on short bets,1
256,Carl Icahn admits mistake with bearish bet that cost $9bn,1
257,Norway’s $1.4tn oil fund to step up ESG proposals to US companies,1
258,Proxy adviser backs activists’ climate resolution at Total,1
259,Icahn’s company hit after it reveals inquiry by US prosecutors,1
260,Adidas to face pressure from big investor over Kanye West findings,1
261,HSBC shareholders reject Ping An-backed split proposal at AGM,1
262,US banks under fresh pressure as Peltz calls for Washington to stem crisis ,1
263,Carl Icahn goes from activist to Hindenburg target,1
264,Icahn group’s shares tumble after attack by short seller Hindenburg,1
265,Corporate raiding returns dissected,1
266,UAE investment group increases Vodafone stake amid scrutiny of board structure,1
267,Activist investor ramps up pressure on incoming Bayer boss ,1
268,HSBC hits back at top investor’s bid to split bank,1
269,UK’s biggest asset manager LGIM challenges Exxon’s climate plans,1
270,Enel investor challenges Italian government over board shake-up,1
271,Elliott and other activists shake Japan Inc into action on investor returns,1
272,Boom time for boardroom raiders as activism hits record highs,1
273,Nuns urge Citigroup to rethink financing of fossil fuel projects,1
274,Investors to press TotalEnergies over climate goals ,1
275,Illumina chief’s pay nearly doubles ahead of clash with Carl Icahn,1
276,Airbus drops deal with Atos digital unit after pressure from Chris Hohn,1
277,Activist investors smoke out South Korea’s undervalued companies,1
